source_id,canonical_url,save_page_now_url,capture_url_recorded,sha256_recorded,archive_status,archive_date,verified_by,archive_failure_date,archive_failure_reason,archive_attempted_url
S-0106,https://www.vaoig.gov/sites/default/files/reports/2025-05/vaoig-24-03127-66-final-locked.pdf,https://web.archive.org/save/https://www.vaoig.gov/sites/default/files/reports/2025-05/vaoig-24-03127-66-final-locked.pdf,https://web.archive.org/web/20250718163838/https://www.vaoig.gov/sites/default/files/reports/2025-05/vaoig-24-03127-66-final-locked.pdf,8c8fa8bc6470ad21f7a87e9db42aa434ea5a171da6e7e5a531ca3dac53425f5e,ARCHIVED,2025-07-18,CAL,,VALIDATION DEFECT: canonical truncated to bare vaoig.gov; CORRECT canonical: https://www.vaoig.gov/sites/default/files/reports/2025-05/vaoig-24-03127-66-final-locked.pdf,
S-0107,https://www.congress.gov/crs-product/R48608,https://web.archive.org/save/https://www.congress.gov/crs-product/R48608,https://web.archive.org/web/20260704110930/https://www.congress.gov/crs-product/R48608,153db9678e8d4cc9652bac6f1481edcf68426725b71179dd23ac86c3df0cd126,ARCHIVED,2026-07-04,CAL,,,
S-0108,https://www.congress.gov/congressional-record,https://web.archive.org/save/https://www.congress.gov/congressional-record,https://web.archive.org/web/20260704111004/https://www.congress.gov/congressional-record,d01c96f7ad0143480f9ac8e999b85143fc2483b95d4c978300ff8cd41703707e,ARCHIVED,2026-07-04,CAL,,,
S-0109,https://www.va.gov/VETDATA/docs/Demographics/New_Vetpop_Model/1L_VetPop2023_National_NCVAS.xlsx,https://web.archive.org/save/https://www.va.gov/VETDATA/docs/Demographics/New_Vetpop_Model/1L_VetPop2023_National_NCVAS.xlsx,https://web.archive.org/web/20240926194701/https://www.va.gov/VETDATA/docs/Demographics/New_Vetpop_Model/1L_VetPop2023_National_NCVAS.xlsx,c4ebe3694d6910df3368e7bbcb03e47c0c6cae3b2af1912f1fbf91bd8c2e1df6,ARCHIVED,2024-09-26,CAL,,,
S-0111,https://www.gao.gov/products/gao-25-108101,https://web.archive.org/save/https://www.gao.gov/products/gao-25-108101,https://web.archive.org/web/20250211160212/https://www.gao.gov/products/gao-25-108101,4d37e281fea5d9d8702f33a86defeda6094f4997012814d5557956ae2a87b3e8,ARCHIVED,2025-02-11,CAL,,,
S-0112,https://www.gao.gov/products/gao-24-106410,https://web.archive.org/save/https://www.gao.gov/products/gao-24-106410,https://web.archive.org/web/20240603214440/https://www.gao.gov/products/gao-24-106410,0d372f746b678db87416f41899b7c1adf5a19bf5aeadecffed64b872db49a517,ARCHIVED,2024-06-03,CAL,,,
S-0113,https://files.gao.gov/reports/GAO-25-106910/index.html,https://web.archive.org/save/https://files.gao.gov/reports/GAO-25-106910/index.html,https://web.archive.org/web/20260704111323/https://files.gao.gov/reports/GAO-25-106910/index.html,71893e30d0116ddc69258700a216f18fcf573164e07ad18b96c628b96fe56703,ARCHIVED,2026-07-04,CAL,,,
S-0114,https://files.gao.gov/reports/GAO-25-107212/index.html,https://web.archive.org/save/https://files.gao.gov/reports/GAO-25-107212/index.html,https://web.archive.org/web/20260704111358/https://files.gao.gov/reports/GAO-25-107212/index.html,920c27c17e424155f6f4ce3184b1f15c0ef1423e654add6a0d5b5ea927462453,ARCHIVED,2026-07-04,CAL,,,
S-0115,https://files.gao.gov/reports/GAO-25-106678/index.html,https://web.archive.org/save/https://files.gao.gov/reports/GAO-25-106678/index.html,https://web.archive.org/web/20260108222356/https://files.gao.gov/reports/GAO-25-106678/index.html,6de3394f2a1659b3a6cdf4f1c7e227b5380a6803ec33b574be0b7d6160c133d6,ARCHIVED,2026-01-08,CAL,,,
S-0116,https://www.gao.gov/products/gao-23-105290,https://web.archive.org/save/https://www.gao.gov/products/gao-23-105290,https://web.archive.org/web/20221110192124/https://www.gao.gov/products/gao-23-105290,4d3883af1e82d8be94b0eabd525ef2ffc592e73f79b835fc21c4038da53433c5,ARCHIVED,2022-11-10,C,,,
